Timestamp: 586516495.321006	 X: 651.895905517851 Y:698.088111584741
Timestamp: 586516506.293261	 X: 651.892421759733 Y:695.770082963904
Timestamp: 586516516.455099	 X: 651.737174339298 Y:693.918875569349
Timestamp: 586516527.909746	 X: 651.643667949676 Y:692.235618948864
Timestamp: 586516539.088506	 X: 650.862335300289 Y:692.075717221218
Timestamp: 586516606.25508	 X: 663.160617393789 Y:678.131056138507
Timestamp: 586516616.321671	 X: 658.277214664004 Y:677.566963590378
Timestamp: 586516627.558729	 X: 657.763330124362 Y:676.245564521427
Timestamp: 586516639.268325	 X: 649.377210135822 Y:672.00290917143
Timestamp: 586516650.189672	 X: 648.868284089478 Y:669.923548732585
Timestamp: 586516661.752703	 X: 649.286325559455 Y:671.555984579825
Timestamp: 586516672.833343	 X: 650.114812425344 Y:673.837512894712
Timestamp: 586516683.46895	 X: 650.099261560191 Y:674.641698749395
Timestamp: 586516694.976968	 X: 650.624024130273 Y:676.600297274196
Timestamp: 586516705.561668	 X: 650.597292481892 Y:677.208838983256
Timestamp: 586516716.862771	 X: 653.187675193864 Y:681.98495093418
Timestamp: 586516728.407738	 X: 653.031184487505 Y:681.54098845351
Timestamp: 586516739.412426	 X: 654.586560343718 Y:682.376606101
Timestamp: 586516749.965104	 X: 655.001878736261 Y:683.985626036849
Timestamp: 586516761.775694	 X: 658.834423798664 Y:684.259126411695
Timestamp: 586516772.757802	 X: 659.588623811361 Y:684.07279907473
Timestamp: 586516783.34825	 X: 658.335116185216 Y:683.20563416671
Timestamp: 586516794.620204	 X: 656.564098758921 Y:681.004267045345
Timestamp: 586516806.064177	 X: 653.71766241386 Y:678.792802930447
Timestamp: 586516816.638202	 X: 651.654817429401 Y:677.880612520322
Timestamp: 586516828.134725	 X: 651.203446323566 Y:677.703249541992
Timestamp: 586516839.15953	 X: 651.245691479055 Y:676.973491101602
Timestamp: 586516849.860004	 X: 651.010999024488 Y:676.783773142511
Timestamp: 586516861.488722	 X: 649.163331834115 Y:675.607342578029
Timestamp: 586516872.337403	 X: 648.859573011223 Y:675.28628061632
Timestamp: 586516883.341681	 X: 650.727951273633 Y:674.199482064143
Timestamp: 586516894.580791	 X: 659.288209671024 Y:670.452088210807
Timestamp: 586516905.3527	 X: 690.302216330821 Y:657.466981297004
Timestamp: 586516916.850454	 X: 764.013909930653 Y:626.555211243333
Timestamp: 586516928.147041	 X: 812.781189517085 Y:613.492173988024
Timestamp: 586516938.349522	 X: 859.713572097063 Y:600.633292449657
Timestamp: 586516950.195009	 X: 926.712347446026 Y:582.099542782562
Timestamp: 586516961.604086	 X: 983.903574721783 Y:565.355617219
Timestamp: 586516971.977354	 X: 1020.7948682987 Y:554.315735028947
Timestamp: 586516983.658623	 X: 994.968130871142 Y:560.752399726909
Timestamp: 586516994.928934	 X: 1163.38294635315 Y:515.076508513998
Timestamp: 586517005.492696	 X: 1175.50374957905 Y:511.797083120999
Timestamp: 586517016.987166	 X: 1170.68300007657 Y:511.528369905735
Timestamp: 586517028.631896	 X: 1172.49536312461 Y:511.413062257833
Timestamp: 586517038.69356	 X: 1171.91938063915 Y:511.875855100081
Timestamp: 586517050.263571	 X: 1164.23609363254 Y:519.017133117365
Timestamp: 586517061.844666	 X: 1164.84373787053 Y:518.833640278343
Timestamp: 586517071.937531	 X: 1164.95583582738 Y:518.483288026811
Timestamp: 586517083.622905	 X: 1163.34878515761 Y:518.673011915308
Timestamp: 586517095.096848	 X: 1165.42575787214 Y:515.306861135617
Timestamp: 586517105.325194	 X: 1165.68777355294 Y:514.935312168942
Timestamp: 586517117.055727	 X: 1165.41850106111 Y:517.241727716456
Timestamp: 586517128.562924	 X: 1168.296442455 Y:515.966946972104
